상품명,수량,상품금액,날짜,시간,판매자,
mushrom,5,3200,2021-1-16,14:11,mymelo,
mushrom,8,3200,2022-12-17,09:22,legend,
mushrom,8,3200,2025-12-12,02:20,mymelo,
dinner,7,500,2020-12-23,18:16,mymelo,
mushrom,6,3200,2022-10-26,09:49,legend,
mushrom,3,3200,2022-1-11,09:20,kuromi,
party table,6,1000,2020-6-12,06:04,legend,
sord,10,4000,2025-1-12,07:28,anohana,
mushrom,7,3200,2025-2-12,03:42,anohana,
mushrom,4,3200,2021-1-16,14:59,anohana,
dinner,7,500,2023-6-13,18:12,legend,
party table,1,1000,2020-6-2,05:13,legend,
mushrom,9,3200,2024-11-11,12:31,legend,
jelly,3,400,2024-7-12,11:02,legend,
gollem,5,3000,2020-12-23,15:07,mymelo,
mushrom,8,3200,2025-12-12,19:43,admin,
mushrom,1,3200,2024-1-9,23:42,legend,
plant,2,300,2020-12-13,10:22,anohana,
courage,7,3000,2022-10-15,18:15,legend,
dinner,6,500,2025-1-2,05:43,admin,
mushrom,3,3200,2021-1-27,05:42,anohana,
mushrom,6,3200,2025-12-24,23:40,kuromi,
mushrom,8,3200,2023-1-12,11:43,anohana,
sord,9,4000,2020-1-14,23:04,legend,
gollem's sweat,6,1500,2025-12-5,13:21,mymelo,
plant,5,300,2021-9-14,05:00,legend,
mushrom,5,3200,2022-1-8,22:53,mymelo,
plant,6,300,2025-12-12,04:27,anohana,
mushrom,1,3200,2020-1-8,11:01,legend,
sord,7,4000,2020-1-23,04:04,mymelo,
courage,5,3000,2025-12-20,11:59,kuromi,
mushrom,8,3200,2025-2-12,02:10,legend,
water,6,480,2020-1-25,01:23,legend,
history,8,5000,2020-12-22,21:41,legend,
mushrom,10,3200,2020-10-12,00:20,admin,
water,2,480,2023-1-26,00:10,kuromi,
mushrom,7,3200,2022-12-2,21:57,legend,
dinner,1,500,2025-12-9,19:16,mymelo,
gollem's sweat,6,1500,2024-8-26,03:20,mymelo,
mushrom,5,3200,2020-1-2,11:52,legend,
gollem's sweat,2,1500,2025-7-29,07:00,legend,
jelly,2,400,2021-1-12,22:28,anohana,
party table,5,1000,2020-5-21,17:51,legend,
sord,2,4000,2020-1-2,21:27,mymelo,
jelly,3,400,2022-10-12,18:45,kuromi,
gollem's sweat,3,1500,2024-8-16,08:04,kuromi,
plant,8,300,2020-12-7,05:36,mymelo,
mushrom,2,3200,2024-9-24,08:46,admin,
sord,1,4000,2024-1-12,11:10,anohana,
plant,8,300,2020-7-10,00:40,legend,
dinner,3,500,2024-12-2,17:05,mymelo,
plant,7,300,2020-4-24,08:42,anohana,
history,7,5000,2020-6-12,22:47,anohana,
history,4,5000,2024-1-12,11:29,legend,
mushrom,7,3200,2024-9-2,10:20,legend,
gollem's sweat,10,1500,2023-1-9,09:02,legend,
mushrom,7,3200,2024-12-14,22:03,kuromi,
party table,1,1000,2022-5-27,23:24,legend,
mushrom,2,3200,2025-1-15,00:28,anohana,
water,7,480,2025-1-27,04:47,anohana,
sord,8,4000,2020-11-20,15:31,legend,
history,4,5000,2020-9-18,15:59,anohana,
gollem's sweat,5,1500,2020-1-6,02:14,admin,
gollem's sweat,3,1500,2020-10-11,03:38,legend,
gollem's sweat,9,1500,2025-6-16,22:12,anohana,
mushrom,9,3200,2020-1-12,03:10,legend,
gollem's sweat,2,1500,2020-5-29,00:25,legend,
courage,2,3000,2023-12-9,01:21,mymelo,
mushrom,9,3200,2025-11-18,13:58,legend,
gollem's sweat,8,1500,2025-12-14,13:24,anohana,
gollem's sweat,6,1500,2023-8-24,14:48,admin,
mushrom,9,3200,2024-1-18,02:45,mymelo,
sord,7,4000,2025-1-18,21:18,mymelo,
jelly,3,400,2022-1-2,05:32,anohana,
plant,3,300,2024-6-24,01:49,kuromi,
mushrom,9,3200,2025-12-23,09:32,kuromi,
party table,4,1000,2021-6-20,22:53,legend,
mushrom,4,3200,2022-12-15,02:40,kuromi,
mushrom,6,3200,2024-12-30,17:13,kuromi,
gollem's sweat,1,1500,2025-12-13,23:53,anohana,
mushrom,4,3200,2020-12-4,20:27,legend,
party table,5,1000,2023-7-12,19:15,anohana,
water,2,480,2020-12-2,14:46,legend,
dinner,6,500,2025-1-14,01:05,kuromi,
courage,6,3000,2022-9-28,05:49,kuromi,
plant,3,300,2020-12-7,10:50,anohana,
dinner,4,500,2024-11-3,17:46,legend,
mushrom,7,3200,2020-1-31,17:58,legend,
jelly,10,400,2023-12-24,04:02,legend,
mushrom,10,3200,2020-11-2,16:55,mymelo,
history,5,5000,2025-7-12,18:26,legend,
gollem's sweat,1,1500,2020-12-2,06:43,anohana,
mushrom,6,3200,2022-12-8,21:53,mymelo,
mushrom,6,3200,2025-1-23,10:48,mymelo,
history,10,5000,2020-1-10,22:32,legend,
mushrom,3,3200,2023-11-12,02:06,kuromi,
mushrom,2,3200,2025-1-12,03:49,anohana,
sord,8,4000,2020-12-3,09:14,legend,
jelly,4,400,2024-12-15,03:57,kuromi,
water,6,480,2022-12-2,18:35,kuromi,
mushrom,10,3200,2025-12-20,03:17,legend,
mushrom,5,3200,2020-1-12,22:40,legend,
gollem's sweat,4,1500,2024-5-26,07:24,admin,
sord,4,4000,2020-1-26,11:18,legend,
plant,4,300,2025-7-31,11:28,anohana,
party table,10,1000,2020-7-25,13:00,kuromi,
courage,7,3000,2022-1-15,16:47,legend,
mushrom,10,3200,2024-12-9,00:44,anohana,
mushrom,5,3200,2021-1-22,11:47,kuromi,
plant,10,300,2022-12-12,23:38,mymelo,
history,5,5000,2020-12-1,22:45,kuromi,
plant,5,300,2024-2-28,04:33,mymelo,
gollem,10,3000,2020-1-12,07:59,legend,
courage,9,3000,2025-1-4,11:22,legend,
mushrom,7,3200,2020-1-9,02:59,legend,
history,6,5000,2025-11-24,11:28,legend,
party table,5,1000,2020-6-24,22:06,kuromi,
jelly,3,400,2024-5-12,20:33,legend,
party table,10,1000,2022-3-7,22:30,anohana,
jelly,3,400,2022-1-2,09:39,legend,
party table,5,1000,2020-7-12,04:38,legend,
plant,10,300,2025-1-27,21:10,legend,
mushrom,6,3200,2022-12-25,09:31,kuromi,
sord,4,4000,2025-1-12,20:26,anohana,
mushrom,3,3200,2024-1-6,22:09,legend,
mushrom,5,3200,2025-1-5,19:59,admin,
history,6,5000,2023-5-26,12:22,admin,
gollem,3,3000,2024-10-5,17:10,legend,
water,1,480,2025-5-2,16:52,mymelo,
plant,1,300,2020-6-20,11:12,anohana,
party table,10,1000,2024-7-20,09:46,anohana,
jelly,3,400,2025-1-31,04:54,legend,
mushrom,1,3200,2024-1-11,01:35,legend,
mushrom,10,3200,2025-1-25,13:15,anohana,
courage,8,3000,2021-12-12,22:54,legend,
gollem,1,3000,2025-12-17,08:19,legend,
gollem,1,3000,2025-7-6,21:26,legend,
water,8,480,2020-8-12,20:05,mymelo,
party table,9,1000,2025-10-12,23:36,legend,
mushrom,4,3200,2020-12-9,11:25,legend,
mushrom,3,3200,2025-12-28,10:19,legend,
plant,9,300,2020-11-2,10:22,mymelo,
dinner,2,500,2024-1-8,11:50,legend,
mushrom,10,3200,2023-1-23,14:51,mymelo,
party table,10,1000,2020-6-2,08:18,anohana,
gollem,9,3000,2025-1-30,12:43,legend,
history,3,5000,2020-8-12,04:22,legend,
history,4,5000,2025-3-2,20:38,kuromi,
jelly,10,400,2023-4-13,17:23,anohana,
sord,5,4000,2022-1-5,01:37,admin,
plant,1,300,2020-11-7,15:10,legend,
mushrom,4,3200,2025-3-16,14:34,legend,
dinner,9,500,2020-7-8,12:41,legend,
plant,4,300,2022-5-13,23:25,legend,
party table,7,1000,2022-3-27,10:25,legend,
courage,2,3000,2025-12-14,03:48,mymelo,
mushrom,9,3200,2020-12-31,00:57,legend,
sord,2,4000,2025-1-12,09:53,anohana,
plant,9,300,2022-1-14,03:52,legend,
mushrom,1,3200,2024-3-4,18:10,admin,
mushrom,4,3200,2025-12-26,20:34,mymelo,
mushrom,5,3200,2020-1-7,11:34,mymelo,
mushrom,8,3200,2022-1-8,21:16,legend,
gollem's sweat,10,1500,2020-12-1,10:17,legend,
sord,6,4000,2024-1-12,05:19,legend,
water,4,480,2023-3-12,17:40,mymelo,
history,7,5000,2020-1-25,20:52,anohana,
sord,3,4000,2025-1-30,10:47,anohana,
plant,3,300,2020-12-28,05:05,mymelo,
mushrom,7,3200,2025-10-2,14:25,anohana,
party table,7,1000,2022-7-3,20:42,mymelo,
mushrom,4,3200,2024-12-26,21:43,mymelo,
water,3,480,2022-5-6,15:34,admin,
history,5,5000,2025-8-27,13:39,legend,
mushrom,7,3200,2024-1-31,06:26,anohana,
mushrom,1,3200,2025-1-27,10:27,mymelo,
mushrom,8,3200,2025-1-26,21:13,legend,
party table,8,1000,2025-7-12,12:35,anohana,
mushrom,3,3200,2024-1-12,15:53,legend,
jelly,8,400,2024-1-14,15:03,mymelo,
dinner,2,500,2023-5-2,22:14,legend,
dinner,7,500,2024-8-14,15:05,legend,
history,6,5000,2025-1-5,10:37,legend,
mushrom,1,3200,2025-1-13,16:24,mymelo,
mushrom,8,3200,2025-12-9,18:54,anohana,
sord,5,4000,2022-1-21,09:07,legend,
courage,7,3000,2020-11-23,16:09,anohana,
mushrom,5,3200,2024-2-18,20:13,mymelo,
mushrom,1,3200,2021-1-30,12:32,legend,
mushrom,6,3200,2025-1-12,06:09,mymelo,
gollem's sweat,6,1500,2020-12-27,19:21,admin,
mushrom,2,3200,2023-2-2,07:10,kuromi,
mushrom,5,3200,2024-12-1,07:43,mymelo,
plant,3,300,2025-12-11,23:01,anohana,
water,10,480,2024-3-25,23:59,mymelo,
mushrom,6,3200,2025-12-12,15:01,mymelo,
party table,5,1000,2025-7-30,04:15,legend,
mushrom,10,3200,2024-1-12,16:41,kuromi,
mushrom,4,3200,2022-1-15,19:04,admin,
gollem,3,3000,2023-12-12,07:20,kuromi,
jelly,5,400,2024-2-24,17:38,legend,
water,10,480,2025-1-12,16:57,anohana,
gollem's sweat,7,1500,2020-3-4,14:22,anohana,
party table,5,1000,2022-5-30,16:48,legend,
gollem,3,3000,2020-1-26,22:51,legend,
mushrom,2,3200,2023-9-12,20:58,legend,
mushrom,7,3200,2022-12-18,01:53,admin,
mushrom,10,3200,2025-1-12,18:07,anohana,
mushrom,3,3200,2021-1-12,05:19,anohana,
gollem's sweat,1,1500,2024-5-27,19:56,legend,
mushrom,7,3200,2024-1-12,13:52,legend,
mushrom,7,3200,2025-11-4,04:21,legend,
mushrom,10,3200,2020-11-12,10:47,legend,
mushrom,6,3200,2025-1-9,23:40,admin,
mushrom,10,3200,2025-12-24,06:03,admin,
party table,9,1000,2020-5-13,15:26,anohana,
dinner,6,500,2025-12-20,09:57,legend,
mushrom,5,3200,2022-12-2,10:23,admin,
history,10,5000,2020-12-1,12:29,anohana,
jelly,8,400,2025-12-10,22:08,anohana,
jelly,3,400,2025-5-12,14:30,anohana,
dinner,6,500,2024-1-12,11:24,anohana,
sord,6,4000,2025-4-12,18:05,anohana,
mushrom,9,3200,2025-1-12,23:42,legend,
party table,9,1000,2020-5-16,14:51,admin,
water,9,480,2020-1-2,13:11,legend,
mushrom,8,3200,2025-2-12,19:14,mymelo,
plant,1,300,2021-11-18,20:51,legend,
history,2,5000,2023-3-12,23:42,legend,
mushrom,3,3200,2020-1-2,01:20,admin,
party table,1,1000,2025-5-2,21:41,legend,
water,10,480,2020-1-12,12:38,anohana,
plant,9,300,2025-12-25,17:39,anohana,
dinner,1,500,2025-1-1,05:48,admin,
dinner,5,500,2022-1-7,07:41,kuromi,
mushrom,4,3200,2025-1-16,11:44,kuromi,
dinner,3,500,2025-12-19,15:45,legend,
water,6,480,2020-8-6,01:00,legend,
history,3,5000,2023-9-3,04:45,legend,
mushrom,10,3200,2024-1-26,20:38,legend,
party table,8,1000,2025-5-11,20:53,legend,
plant,10,300,2025-1-2,10:18,legend,
party table,7,1000,2024-7-24,09:01,anohana,
gollem's sweat,9,1500,2025-1-19,21:33,anohana,
history,7,5000,2024-12-12,22:37,legend,
history,3,5000,2020-12-12,17:24,legend,
sord,5,4000,2025-1-2,00:00,kuromi,
jelly,4,400,2021-4-17,01:45,legend,
party table,8,1000,2024-7-29,16:42,anohana,
mushrom,4,3200,2025-12-12,23:33,legend,
dinner,10,500,2020-12-15,09:13,mymelo,
mushrom,6,3200,2025-1-19,19:55,kuromi,
gollem's sweat,3,1500,2025-1-30,23:35,kuromi,
mushrom,2,3200,2020-1-17,11:10,legend,
mushrom,6,3200,2022-1-12,12:17,legend,
mushrom,6,3200,2024-1-14,07:25,anohana,
history,4,5000,2025-12-31,20:04,admin,
party table,8,1000,2025-5-12,06:27,mymelo,
mushrom,5,3200,2025-12-27,09:52,anohana,
gollem's sweat,1,1500,2024-1-31,09:41,legend,
dinner,4,500,2022-1-12,00:47,mymelo,
water,7,480,2022-1-12,02:54,legend,
dinner,7,500,2020-4-2,09:49,anohana,
jelly,7,400,2023-2-15,10:16,anohana,
party table,2,1000,2022-5-4,09:25,legend,
mushrom,5,3200,2025-12-19,19:42,kuromi,
history,1,5000,2021-12-22,18:57,anohana,
mushrom,6,3200,2022-3-9,18:57,mymelo,
mushrom,8,3200,2025-1-4,20:59,mymelo,
courage,5,3000,2025-1-20,05:08,anohana,
mushrom,6,3200,2025-3-2,22:00,legend,
party table,9,1000,2020-6-9,06:26,anohana,
courage,2,3000,2025-1-17,04:45,mymelo,
mushrom,10,3200,2025-1-6,11:09,legend,
mushrom,9,3200,2023-12-16,00:38,admin,
dinner,3,500,2025-12-23,10:48,legend,
water,7,480,2022-3-16,02:18,anohana,
gollem's sweat,1,1500,2020-1-12,22:59,mymelo,
courage,4,3000,2024-9-26,09:43,anohana,
jelly,10,400,2021-12-12,16:02,mymelo,
dinner,7,500,2020-1-22,02:43,legend,
courage,5,3000,2025-1-3,03:18,mymelo,
sord,9,4000,2025-8-12,11:01,anohana,
gollem,4,3000,2022-12-12,17:10,legend,
party table,6,1000,2025-6-1,03:59,legend,
mushrom,7,3200,2025-11-14,12:07,legend,
mushrom,1,3200,2024-1-25,10:38,kuromi,
party table,4,1000,2025-5-15,10:47,legend,
party table,8,1000,2025-7-9,05:15,admin,
dinner,9,500,2025-12-5,01:59,legend,
mushrom,4,3200,2024-9-16,11:34,legend,
plant,8,300,2020-12-12,18:44,mymelo,
mushrom,7,3200,2022-2-17,15:29,kuromi,
plant,3,300,2025-12-12,16:11,legend,
dinner,7,500,2020-1-4,01:51,legend,
plant,2,300,2025-5-12,03:41,legend,
mushrom,9,3200,2020-1-12,04:09,anohana,
mushrom,6,3200,2022-1-2,09:17,legend,
gollem's sweat,10,1500,2025-1-5,00:37,anohana,
mushrom,4,3200,2022-2-2,21:26,mymelo,
dinner,3,500,2022-5-27,15:54,legend,
mushrom,1,3200,2020-12-3,16:10,legend,
history,9,5000,2020-5-12,17:31,legend,
mushrom,2,3200,2022-1-1,17:40,legend,
dinner,6,500,2023-5-12,02:12,legend,
sord,9,4000,2022-2-12,07:33,anohana,
dinner,9,500,2025-11-16,22:21,mymelo,
sord,1,4000,2024-1-15,12:18,anohana,
sord,4,4000,2025-8-30,22:44,anohana,
water,6,480,2025-12-12,16:33,anohana,
history,3,5000,2024-1-4,01:50,legend,
mushrom,2,3200,2020-12-8,03:14,anohana,
courage,1,3000,2025-1-26,03:09,mymelo,
mushrom,3,3200,2022-2-3,13:06,anohana,
sord,7,4000,2025-1-8,02:02,legend,
mushrom,7,3200,2022-11-3,16:38,kuromi,
dinner,10,500,2020-5-21,00:10,mymelo,
gollem's sweat,4,1500,2024-7-12,03:53,legend,
sord,10,4000,2025-1-5,20:54,admin,
history,4,5000,2025-6-3,00:37,legend,
plant,2,300,2024-12-12,03:10,anohana,
mushrom,3,3200,2025-12-23,09:40,mymelo,
courage,2,3000,2025-1-12,18:23,legend,
plant,5,300,2024-10-6,13:20,legend,
mushrom,6,3200,2024-1-13,09:46,anohana,
mushrom,6,3200,2024-1-24,22:03,anohana,
mushrom,9,3200,2025-12-10,03:54,legend,
jelly,6,400,2020-6-21,13:37,admin,
gollem's sweat,2,1500,2023-1-19,03:09,legend,
mushrom,7,3200,2025-12-6,22:11,legend,
mushrom,6,3200,2020-12-28,14:29,mymelo,
gollem's sweat,4,1500,2022-5-24,23:45,anohana,
mushrom,5,3200,2020-1-12,00:39,kuromi,
mushrom,10,3200,2024-11-10,06:00,anohana,
gollem,7,3000,2020-1-12,05:04,kuromi,
mushrom,2,3200,2025-12-24,12:21,legend,
party table,9,1000,2022-5-6,20:22,anohana,
jelly,4,400,2023-1-30,16:47,legend,
mushrom,7,3200,2025-12-2,00:26,anohana,
mushrom,5,3200,2022-12-2,09:38,legend,
sord,1,4000,2023-1-12,11:52,anohana,
history,8,5000,2025-12-27,18:35,mymelo,
mushrom,1,3200,2024-2-17,05:37,legend,
mushrom,4,3200,2020-12-15,21:25,kuromi,
mushrom,6,3200,2022-12-25,11:32,kuromi,
mushrom,10,3200,2025-1-11,22:58,anohana,
party table,5,1000,2024-6-2,20:28,legend,
courage,9,3000,2025-1-2,09:07,anohana,
mushrom,9,3200,2025-12-25,12:28,anohana,
gollem,4,3000,2020-1-28,07:19,legend,
mushrom,1,3200,2025-9-12,11:29,mymelo,
courage,8,3000,2025-1-30,02:16,legend,
mushrom,7,3200,2022-8-20,04:16,kuromi,
gollem,3,3000,2025-12-12,15:51,mymelo,
mushrom,2,3200,2022-4-27,20:28,legend,
mushrom,2,3200,2022-11-27,05:16,legend,
party table,7,1000,2025-5-2,23:15,legend,
history,8,5000,2025-12-12,09:24,admin,
gollem's sweat,7,1500,2020-1-22,22:32,kuromi,
mushrom,3,3200,2024-12-19,15:45,mymelo,
dinner,7,500,2020-1-27,07:30,legend,
courage,6,3000,2024-8-17,07:19,legend,
mushrom,5,3200,2020-1-8,09:44,admin,
gollem's sweat,5,1500,2020-1-10,02:46,mymelo,
plant,4,300,2023-6-16,09:52,legend,
jelly,3,400,2020-12-12,12:10,legend,
mushrom,2,3200,2022-12-16,14:34,anohana,
plant,10,300,2024-11-12,21:48,kuromi,
history,3,5000,2020-12-26,19:02,legend,
party table,4,1000,2025-5-1,09:43,anohana,
mushrom,8,3200,2025-12-28,19:34,admin,
mushrom,3,3200,2025-12-12,00:16,admin,
water,5,480,2022-1-2,09:45,legend,
history,3,5000,2025-1-8,15:06,legend,
jelly,4,400,2020-1-8,00:10,anohana,
mushrom,5,3200,2021-10-16,18:43,admin,
mushrom,9,3200,2020-12-5,17:43,mymelo,
plant,3,300,2024-1-12,05:42,legend,
dinner,3,500,2024-12-12,05:36,legend,
mushrom,9,3200,2025-10-31,10:19,legend,
water,3,480,2025-1-7,15:08,mymelo,
mushrom,3,3200,2025-8-18,22:58,anohana,
water,8,480,2024-1-2,02:48,anohana,
mushrom,5,3200,2020-2-7,08:44,legend,
gollem's sweat,6,1500,2025-6-30,13:18,kuromi,
history,5,5000,2024-1-18,21:31,admin,
water,6,480,2020-12-24,14:09,legend,
mushrom,2,3200,2024-4-2,21:04,admin,
mushrom,7,3200,2023-12-7,01:32,anohana,
dinner,2,500,2024-12-2,08:59,mymelo,
mushrom,3,3200,2020-12-7,23:39,anohana,
mushrom,7,3200,2024-12-12,14:58,anohana,
sord,7,4000,2025-1-21,04:40,admin,
party table,1,1000,2024-6-24,13:23,admin,
dinner,3,500,2020-7-3,21:27,legend,
mushrom,9,3200,2025-12-23,06:25,mymelo,
mushrom,6,3200,2024-12-12,11:54,legend,
party table,7,1000,2025-6-18,13:07,legend,
gollem,10,3000,2020-7-12,12:20,mymelo,
history,3,5000,2023-1-8,00:16,anohana,
history,5,5000,2020-8-12,11:46,legend,
mushrom,4,3200,2025-1-30,18:28,mymelo,
history,2,5000,2023-1-15,12:43,kuromi,
plant,4,300,2020-1-22,16:54,anohana,
courage,7,3000,2020-5-13,02:12,mymelo,
gollem,10,3000,2024-9-2,13:02,kuromi,
gollem,5,3000,2024-1-12,05:16,legend,
jelly,6,400,2023-12-29,03:05,legend,
mushrom,2,3200,2025-12-2,12:08,legend,
gollem's sweat,5,1500,2021-12-10,20:37,admin,
mushrom,2,3200,2020-9-1,09:33,legend,
mushrom,10,3200,2025-1-3,07:46,legend,
gollem's sweat,10,1500,2021-1-31,01:33,mymelo,
sord,1,4000,2025-12-12,08:39,legend,
courage,2,3000,2025-1-19,17:36,legend,
mushrom,6,3200,2024-1-6,18:33,kuromi,
courage,10,3000,2023-1-11,23:17,legend,
gollem's sweat,6,1500,2025-12-12,19:19,admin,
plant,1,300,2025-9-17,20:51,anohana,
mushrom,6,3200,2025-12-17,04:48,legend,
gollem,9,3000,2025-5-7,21:23,anohana,
plant,3,300,2025-4-5,16:41,kuromi,
party table,6,1000,2025-4-3,06:38,legend,
mushrom,10,3200,2025-12-1,01:39,mymelo,
jelly,10,400,2020-12-12,17:24,legend,
mushrom,5,3200,2022-1-6,13:45,anohana,
dinner,9,500,2025-1-6,11:37,legend,
sord,6,4000,2024-12-12,16:07,anohana,
water,10,480,2025-6-12,08:42,legend,
sord,4,4000,2025-12-29,20:14,legend,
mushrom,7,3200,2020-1-10,14:48,kuromi,
jelly,2,400,2020-1-28,10:33,anohana,
mushrom,5,3200,2025-1-2,00:43,legend,
plant,3,300,2024-1-12,07:43,legend,
mushrom,9,3200,2025-9-12,01:07,kuromi,
sord,3,4000,2025-12-12,16:48,kuromi,
mushrom,8,3200,2021-1-12,11:20,legend,
gollem,8,3000,2020-11-22,00:16,legend,
courage,8,3000,2025-7-7,03:20,kuromi,
water,7,480,2020-7-12,05:58,anohana,
party table,2,1000,2020-8-12,06:34,admin,
mushrom,9,3200,2024-12-27,08:35,mymelo,
gollem's sweat,4,1500,2025-11-16,00:51,legend,
mushrom,6,3200,2022-12-22,23:55,kuromi,
mushrom,3,3200,2025-12-2,20:42,admin,
mushrom,10,3200,2025-12-27,21:54,mymelo,
water,10,480,2023-1-30,05:27,legend,
mushrom,1,3200,2024-12-12,20:35,anohana,
party table,1,1000,2020-6-6,03:23,legend,
mushrom,8,3200,2024-1-20,08:11,legend,
water,9,480,2022-12-12,08:46,anohana,
water,3,480,2024-8-31,08:25,anohana,
mushrom,2,3200,2025-1-11,17:39,legend,
dinner,3,500,2025-1-4,07:28,anohana,
mushrom,10,3200,2025-1-2,14:42,anohana,
mushrom,3,3200,2024-12-10,18:23,legend,
courage,2,3000,2020-6-2,10:26,legend,
mushrom,5,3200,2025-12-21,20:01,kuromi,
jelly,2,400,2024-12-12,22:09,anohana,
sord,6,4000,2024-8-30,12:19,legend,
courage,4,3000,2020-1-12,03:45,legend,
jelly,8,400,2021-1-28,23:00,legend,
mushrom,7,3200,2020-4-24,22:33,admin,
gollem,10,3000,2024-1-27,18:21,legend,
mushrom,3,3200,2020-8-12,04:45,legend,
plant,7,300,2021-11-26,09:49,anohana,
gollem,9,3000,2022-12-25,11:41,legend,
party table,6,1000,2022-5-12,00:42,anohana,
mushrom,3,3200,2025-12-6,05:29,mymelo,
mushrom,3,3200,2025-1-17,14:18,anohana,
mushrom,9,3200,2025-11-13,15:14,legend,
courage,3,3000,2025-1-12,05:08,legend,
mushrom,5,3200,2025-1-12,11:28,legend,
mushrom,6,3200,2020-1-22,03:31,legend,
mushrom,7,3200,2025-1-17,11:00,anohana,
dinner,9,500,2025-1-11,18:06,legend,
mushrom,9,3200,2025-11-12,23:45,mymelo,
water,8,480,2022-1-12,01:36,mymelo,
mushrom,7,3200,2024-1-7,22:03,kuromi,
mushrom,9,3200,2025-1-12,15:45,mymelo,
mushrom,7,3200,2025-1-12,19:03,anohana,
mushrom,8,3200,2020-1-1,09:55,legend,
courage,5,3000,2024-1-12,04:04,legend,
gollem,5,3000,2025-7-2,13:12,mymelo,
party table,2,1000,2020-10-13,22:58,mymelo,
mushrom,7,3200,2022-12-19,06:36,mymelo,
party table,8,1000,2025-7-10,22:22,anohana,
mushrom,5,3200,2025-1-23,14:01,legend,
water,5,480,2023-7-28,04:48,kuromi,
plant,4,300,2023-1-27,00:00,anohana,
plant,2,300,2025-12-25,21:22,kuromi,
jelly,3,400,2023-8-26,14:05,anohana,
gollem,8,3000,2020-1-12,17:52,kuromi,
mushrom,7,3200,2020-1-30,00:26,legend,
sord,2,4000,2024-1-14,14:54,legend,
jelly,1,400,2024-3-8,08:39,legend,
mushrom,10,3200,2022-12-12,04:04,mymelo,
sord,4,4000,2023-12-4,16:31,legend,
dinner,1,500,2025-8-2,23:11,anohana,
party table,5,1000,2024-6-29,17:33,mymelo,
mushrom,7,3200,2023-12-31,19:05,legend,
party table,5,1000,2020-5-16,00:41,anohana,
mushrom,10,3200,2025-1-2,01:09,mymelo,
party table,6,1000,2025-6-24,11:18,anohana,
party table,6,1000,2024-6-6,20:13,legend,
jelly,3,400,2025-1-11,13:33,legend,
mushrom,7,3200,2024-12-4,21:18,legend,
plant,2,300,2022-1-11,04:16,kuromi,
water,2,480,2020-3-12,13:05,legend,
courage,1,3000,2022-3-19,03:28,legend,
mushrom,7,3200,2020-12-29,01:53,mymelo,
mushrom,3,3200,2025-12-2,07:19,legend,
mushrom,3,3200,2025-1-12,21:03,mymelo,
party table,1,1000,2025-6-11,09:24,legend,
water,7,480,2024-12-12,19:26,admin,
mushrom,2,3200,2020-11-2,14:55,mymelo,
history,2,5000,2025-1-12,09:03,legend,
mushrom,8,3200,2025-12-8,12:37,mymelo,
party table,1,1000,2020-5-22,08:54,anohana,
party table,10,1000,2020-5-23,12:40,anohana,
mushrom,10,3200,2025-1-31,19:19,legend,
sord,7,4000,2023-12-2,23:06,kuromi,
gollem's sweat,1,1500,2025-1-8,21:15,legend,
jelly,3,400,2020-1-12,09:30,legend,
mushrom,3,3200,2022-12-22,01:33,legend,
gollem,9,3000,2020-7-27,16:15,legend,
mushrom,8,3200,2025-1-28,01:48,legend,
water,1,480,2024-12-16,15:10,anohana,
mushrom,1,3200,2020-3-14,14:57,legend,
history,3,5000,2025-1-12,20:07,legend,
mushrom,7,3200,2020-1-23,18:49,mymelo,
mushrom,5,3200,2022-1-4,17:41,legend,
mushrom,3,3200,2025-12-8,18:43,anohana,
mushrom,1,3200,2024-12-27,21:29,kuromi,
plant,1,300,2025-1-5,13:35,kuromi,
mushrom,3,3200,2024-12-2,22:20,legend,
jelly,3,400,2025-12-5,18:49,legend,
gollem,6,3000,2024-8-2,10:36,mymelo,
jelly,4,400,2020-2-25,23:44,kuromi,
mushrom,8,3200,2024-1-19,16:47,kuromi,
party table,2,1000,2025-5-31,20:46,legend,
mushrom,4,3200,2025-1-2,19:43,legend,
sord,5,4000,2025-1-4,08:49,kuromi,
gollem,9,3000,2020-1-12,20:07,anohana,
mushrom,2,3200,2025-1-1,10:22,legend,
gollem's sweat,1,1500,2024-1-6,05:01,mymelo,
mushrom,1,3200,2020-9-2,17:35,mymelo,
mushrom,9,3200,2024-1-16,23:57,anohana,
history,8,5000,2022-12-30,23:38,admin,
jelly,5,400,2024-1-6,08:21,admin,
mushrom,6,3200,2024-9-20,18:20,mymelo,
dinner,4,500,2023-11-2,10:01,legend,
plant,10,300,2020-7-12,17:42,admin,
mushrom,3,3200,2020-12-12,03:08,legend,
party table,2,1000,2024-5-12,00:14,legend,
mushrom,2,3200,2024-1-31,23:23,kuromi,
jelly,1,400,2024-1-12,18:58,mymelo,
plant,7,300,2025-12-2,20:47,legend,
plant,8,300,2022-7-29,14:10,mymelo,
gollem's sweat,6,1500,2024-12-28,18:41,legend,
mushrom,3,3200,2025-12-29,00:17,anohana,
mushrom,2,3200,2020-1-12,06:57,legend,
jelly,2,400,2022-12-12,11:45,kuromi,
mushrom,10,3200,2023-3-12,22:37,legend,
mushrom,6,3200,2025-1-22,22:06,anohana,
mushrom,4,3200,2025-1-17,11:43,legend,
